City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Ketchikan,US,55.34,-131.65,55.4,87,90,10.29,overcast clouds
349,Grafton,US,42.21,-71.69,77.0,57,20,12.75,few clouds
350,Baghdad,IQ,33.34,44.4,93.2,21,0,3.36,clear sky
351,Santiago Del Estero,AR,-27.8,-64.26,74.53,51,35,6.08,scattered clouds
352,Sibolga,ID,1.74,98.78,76.64,85,80,3.38,light rain
353,Solton,RU,52.84,86.48,54.57,93,100,1.16,light rain
354,Aranos,NA,-24.13,19.12,57.97,26,0,10.33,clear sky
355,Palafrugell,ES,41.92,3.16,78.01,72,47,15.14,scattered clouds
356,Mpika,ZM,-11.83,31.45,67.78,42,17,2.91,few clouds
357,Husavik,IS,66.04,-17.34,55.4,58,75,8.05,broken clouds
358,Westport,US,41.14,-73.36,84.99,57,75,6.93,broken clouds
359,Zhezkazgan,KZ,47.8,67.71,72.59,31,0,12.24,clear sky
